train_id,segment_id,arrival_time,departure_time
T12952,NDLS_NGP,2026-01-01T06:00:00,2026-01-01T20:00:00
T12952,NGP_MMCT,2026-01-01T20:30:00,2026-01-02T08:30:00
T12810,HWH_NGP,2026-01-01T08:00:00,2026-01-01T23:00:00
T12810,NGP_MMCT,2026-01-01T23:30:00,2026-01-02T11:30:00
T11040,NDLS_NGP,2026-01-01T10:00:00,2026-01-02T00:00:00
T11040,NGP_BZA,2026-01-02T01:00:00,2026-01-02T09:00:00
T11040,BZA_MAS,2026-01-02T09:30:00,2026-01-02T15:30:00
F8492,HWH_NGP,2026-01-01T12:00:00,2026-01-02T04:40:00
T12301,NDLS_ALD,2026-01-01T14:00:00,2026-01-01T22:00:00
T12301,ALD_HWH,2026-01-01T23:00:00,2026-01-02T09:00:00
